date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2023/3/1,買,2618,長榮航,1000,28.00,0,0,24,0,28000,24,28024,0,,alex
2023/3/6,買,2610,華航,3000,20.35,0,0,52,0,61050,52,61102,0,,alex
2023/3/6,買,9907,統一實,1000,18.70,0,0,20,0,18700,20,18720,0,,alex
2023/3/6,賣,2303,聯電,0,0,1000,51.90,44,156,51900,200,0,51700,,alex
2023/3/9,買,9907,統一實,1000,19.15,0,0,20,0,19150,20,19170,0,,alex
2023/3/10,買,1218,泰山,1000,29.90,0,0,26,0,29900,26,29926,0,,alex
2023/3/10,買,2498,宏達電,1000,62.00,0,0,53,0,62000,53,62053,0,,alex
2023/3/10,買,2618,長榮航,1000,27.85,0,0,24,0,27850,24,27874,0,,alex
2023/3/13,買,1519,華城,1000,66.80,0,0,57,0,66800,57,66857,0,,alex
2023/3/13,買,6770,力積電,1000,33.85,0,0,29,0,33850,29,33879,0,,alex
2023/3/15,買,2618,長榮航,1000,26.80,0,0,23,0,26800,23,26823,0,,alex
2023/3/15,買,9907,統一實,1000,18.85,0,0,20,0,18850,20,18870,0,,alex
2023/3/20,賣,1519,華城,0,0,1000,69.00,59,207,69000,266,0,68734,,alex
2023/3/21,買,2618,長榮航,1000,26.20,0,0,22,0,26200,22,26222,0,,alex
2023/3/24,買,2498,宏達電,1000,63.80,0,0,55,0,63800,55,63855,0,,alex
2023/3/28,買,2498,宏達電,1000,61.90,0,0,53,0,61900,53,61953,0,,alex
2023/4/6,買,1218,泰山,1000,29.65,0,0,25,0,29650,25,29675,0,,alex
2023/4/6,賣,2845,遠東銀,0,0,4000,11.15,38,134,44600,172,0,44428,,alex
2023/4/6,賣,2845,遠東銀,0,0,2000,11.20,20,67,22400,87,0,22313,,alex
2023/4/17,賣,9907,統一實,0,0,2000,20.60,35,124,41200,159,0,41041,,alex
2023/4/20,買,2498,宏達電,1000,60.80,0,0,52,0,60800,52,60852,0,,alex
2023/4/25,買,2498,宏達電,1000,56.10,0,0,48,0,56100,48,56148,0,,alex
2023/5/8,賣,1218,泰山,0,0,1000,32.75,28,98,32750,126,0,32624,,alex
2023/5/18,賣,2498,宏達電,0,0,1000,59.50,51,179,59500,229,0,59271,,alex
2023/5/18,賣,2618,長榮航,0,0,1000,28.25,24,85,28250,109,0,28141,,alex
2023/5/19,賣,2618,長榮航,0,0,1000,29.55,25,89,29550,114,0,29436,,alex
2023/5/19,賣,2353,宏碁,0,0,1000,30.60,26,92,30600,118,0,30482,,alex
2023/5/19,買,2303,聯電,1000,49.95,0,0,43,0,49950,43,49993,0,,alex
2023/5/22,賣,2618,長榮航,0,0,1000,30.50,26,92,30500,118,0,30382,,alex
2023/5/23,買,2941,(未知),1000,57.50,0,0,49,0,57500,49,57549,0,,alex
2023/5/25,買,2303,聯電,1000,48.90,0,0,42,0,48900,42,48942,0,,alex
2023/5/26,賣,2618,長榮航,0,0,1000,32.35,28,97,32350,125,0,32225,,alex
2023/5/31,買,1218,泰山,1000,31.90,0,0,27,0,31900,27,31927,0,,alex
2023/6/1,買,2618,長榮航,1000,34.45,0,0,29,0,34450,29,34479,0,,alex
2023/6/1,賣,2618,長榮航,0,0,1000,35.05,30,105,35050,135,0,34915,,alex
2023/6/1,賣,2610,華航,0,0,1000,22.60,20,68,22600,88,0,22512,,alex
2023/6/2,賣,2618,長榮航,0,0,1000,36.60,31,110,36600,141,0,36459,,alex
2023/6/2,賣,2353,宏碁,0,0,1000,32.00,27,96,32000,123,0,31877,,alex
2023/6/2,賣,2353,宏碁,0,0,1000,33.90,29,102,33900,131,0,33769,,alex
2023/6/8,買,1218,泰山,1000,30.45,0,0,26,0,30450,26,30476,0,,alex
2023/6/8,賣,2303,聯電,0,0,1000,51.70,44,155,51700,199,0,51501,,alex
2023/6/9,賣,2303,聯電,0,0,1000,52.30,45,157,52300,202,0,52098,,alex
2023/6/13,買,1218,泰山,1000,29.90,0,0,26,0,29900,26,29926,0,,alex
2023/6/14,賣,2610,華航,0,0,1000,23.30,20,70,23300,90,0,23210,,alex
2023/6/14,賣,2610,華航,0,0,1000,23.70,20,71,23700,91,0,23609,,alex
2023/6/27,買,6176,瑞儀,2000,109.50,0,0,187,0,219000,187,219187,0,,alex
2023/7/3,買,2303,聯電,2000,48.30,0,0,83,0,96600,83,96683,0,,alex
2023/7/13,賣,1218,泰山,0,0,12000,24.70,253,889,296400,1143,0,295257,,alex
2023/7/17,買,9907,統一實,1000,18.05,0,0,20,0,18050,20,18070,0,,alex
2023/7/17,賣,2353,宏碁,0,0,1000,36.10,31,108,36100,139,0,35961,,alex
2023/7/18,買,2498,宏達電,1000,57.50,0,0,49,0,57500,49,57549,0,,alex
2023/8/2,買,2498,宏達電,2000,53.40,0,0,91,0,106800,91,106891,0,,alex
2023/8/2,賣,2941,(未知),0,0,1000,82.10,70,246,82100,316,0,81784,,alex
